prompt_version,model_name,field,tp,fp,fn,precision,recall,f1
v1,gpt-4o,event_date,50,0,0,1.0,1.0,1.0
v1,gpt-4o,event_type,45,3,2,0.9375,0.9,0.9184
v1,gpt-4o,event_time,24,12,1,0.6667,0.6667,0.6667
v1,gpt-4o,meal_type,31,19,0,0.62,0.8857,0.7294
v1,gpt-4o,attendee_count,44,6,0,0.88,0.9167,0.898
v1,gpt-4o,external_guests,7,8,20,0.4667,0.2059,0.2857
v1,gpt-4o,catering_type,18,6,3,0.75,0.6667,0.7059
v1,gpt-4o,office_location,23,4,0,0.8519,0.9583,0.902
v1,gpt-4o,dietary_requirements,19,8,0,0.7037,0.76,0.7308
v1,gpt-4o,room_location,38,3,5,0.9268,0.8444,0.8837
v1,gpt-4o,av_equipment,8,1,0,0.8889,1.0,0.9412
v1,gpt-4o,extra_arrangements,6,0,17,1.0,0.2609,0.4138
v1,gpt-4o-mini,event_date,41,9,0,0.82,0.82,0.82
v1,gpt-4o-mini,event_type,43,4,3,0.9149,0.86,0.8866
v1,gpt-4o-mini,event_time,21,15,2,0.5833,0.5833,0.5833
v1,gpt-4o-mini,meal_type,27,22,1,0.551,0.7714,0.6429
v1,gpt-4o-mini,attendee_count,47,2,0,0.9592,0.9792,0.9691
v1,gpt-4o-mini,external_guests,5,11,19,0.3125,0.1471,0.2
v1,gpt-4o-mini,catering_type,13,7,10,0.65,0.4815,0.5532
v1,gpt-4o-mini,office_location,23,5,0,0.8214,0.9583,0.8846
v1,gpt-4o-mini,dietary_requirements,17,9,1,0.6538,0.68,0.6667
v1,gpt-4o-mini,room_location,36,4,7,0.9,0.8,0.8471
v1,gpt-4o-mini,av_equipment,7,2,0,0.7778,0.875,0.8235
v1,gpt-4o-mini,extra_arrangements,4,5,16,0.4444,0.1739,0.25
v1,gpt-4.1-nano,event_date,40,10,0,0.8,0.8,0.8
v1,gpt-4.1-nano,event_type,45,5,0,0.9,0.9,0.9
v1,gpt-4.1-nano,event_time,22,21,0,0.5116,0.6111,0.557
v1,gpt-4.1-nano,meal_type,27,23,0,0.54,0.7714,0.6353
v1,gpt-4.1-nano,attendee_count,46,3,0,0.9388,0.9583,0.9485
v1,gpt-4.1-nano,external_guests,11,11,14,0.5,0.3235,0.3929
v1,gpt-4.1-nano,catering_type,9,10,12,0.4737,0.3333,0.3913
v1,gpt-4.1-nano,office_location,23,9,0,0.7188,0.9583,0.8214
v1,gpt-4.1-nano,dietary_requirements,19,11,0,0.6333,0.76,0.6909
v1,gpt-4.1-nano,room_location,38,5,4,0.8837,0.8444,0.8636
v1,gpt-4.1-nano,av_equipment,7,2,0,0.7778,0.875,0.8235
v1,gpt-4.1-nano,extra_arrangements,7,18,8,0.28,0.3043,0.2917
v2,gpt-4o,event_date,50,0,0,1.0,1.0,1.0
v2,gpt-4o,event_type,46,4,0,0.92,0.92,0.92
v2,gpt-4o,event_time,25,12,1,0.6757,0.6944,0.6849
v2,gpt-4o,meal_type,32,16,1,0.6667,0.9143,0.7711
v2,gpt-4o,attendee_count,44,6,0,0.88,0.9167,0.898
v2,gpt-4o,external_guests,3,36,2,0.0769,0.0882,0.0822
v2,gpt-4o,catering_type,20,18,0,0.5263,0.7407,0.6154
v2,gpt-4o,office_location,24,5,0,0.8276,1.0,0.9057
v2,gpt-4o,dietary_requirements,19,8,0,0.7037,0.76,0.7308
v2,gpt-4o,room_location,40,3,4,0.9302,0.8889,0.9091
v2,gpt-4o,av_equipment,8,1,0,0.8889,1.0,0.9412
v2,gpt-4o,extra_arrangements,7,0,16,1.0,0.3043,0.4667
v2,gpt-4o-mini,event_date,18,32,0,0.36,0.36,0.36
v2,gpt-4o-mini,event_type,45,4,1,0.9184,0.9,0.9091
v2,gpt-4o-mini,event_time,23,13,2,0.6389,0.6389,0.6389
v2,gpt-4o-mini,meal_type,32,17,1,0.6531,0.9143,0.7619
